date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:02	447126/447126	---M--	200	added ('OK')	image/jpeg	etag:%22bedce0cd13f8ca0e489e08963def5c57%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/bg7.jpg	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/bg7.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:35:03	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:03%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/css/bootstrap.min.css	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/css/bootstrap.min.css	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:04	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:04%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/css/styles.css?ver=3	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/css/styles592e.css	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:04	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:05%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/css/animate.css	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/css/animate.css	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:06	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:06%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/css/flipclock.css	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/css/flipclock.css	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:06	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:07%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/logo.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/logo.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:07	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:08%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/sp1.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/sp1.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:08	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:08%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/item1.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/item1.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:09	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:09%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/item2.png?ver=2	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/item277ae.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:10	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:10%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/item3.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/item3.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:11	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:11%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/item4.png?ver=2	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/item477ae.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:11	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:12%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/item5.png?ver=2	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/item577ae.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:12	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:13%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/sp2.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/sp2.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:13	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:13%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/sp3.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/sp3.png	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:14	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:15%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/img/sp4.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/img/sp4.jpg	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:15	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:15%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/js/flipclock.min.js	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/js/flipclock.min.js	(from http://vongtaygotram.fastbuy.biz/schema.org/)
17:35:16	23347/23347	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:35:17%20GMT	http://vongtaygotram.fastbuy.biz/schema.org/assets/js/wow.min.js	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/schema.org/assets/js/wow.min.js	(from http://vongtaygotram.fastbuy.biz/schema.org/)
